gene,SRR12878708,SRR12878713,SRR12878714,SRR12878717,SRR12878718,SRR12878719
A1BG,36,15,26,17,10,21
A2M,154285,5364,97222,45,2440,2697
A2MP1,25,3,15,0,0,1
NAT1,55,6,63,0,5,11
NAT2,0,0,0,0,0,0
SERPINA3,13,117,70,7,13,32
AADAC,0,0,0,3,2,1
AAMP,1879,96,1815,1,71,76
AANAT,17,4,16,8,9,1
AARS1,2591,246,1418,28,134,97
ABAT,623,21,197,35,10,11
ABCA1,3761,268,2021,3,115,74
ABCA2,1388,90,449,12,97,66
ABCA3,1221,66,446,4,64,41
ABCB7,814,47,436,0,32,15
ABCF1,1921,117,1362,26,215,143
ABCF1,1921,117,1362,26,215,143
ABCF1,1921,117,1362,26,215,143
ABCF1,1921,117,1362,26,215,143
ABCF1,1921,117,1362,26,215,143
ABCF1,1921,117,1362,26,215,143
ABCF1,1921,117,1362,26,215,143
ABCA4,103,13,6,6,14,19
ABL1,1641,180,681,5,246,111
AOC1,11,2,2,0,0,3
ABL2,1170,89,469,94,434,220
ABO,465,18,444,7,69,15
ABO,465,18,444,7,69,15
ABR,7283,790,4682,74,376,231
ABR,7283,790,4682,74,376,231
ABR,7283,790,4682,74,376,231
ACAA1,755,53,315,0,33,23
ACACA,907,96,469,67,88,66
ACACA,907,96,469,67,88,66
ACACB,1348,138,984,6,197,98
ACADL,1,0,12,0,2,3
ACADM,1150,84,578,8,55,54
ACADS,192,16,99,9,10,0
ACADSB,470,17,252,0,4,2
ACADVL,1512,245,720,4,256,209
ACAT1,1675,72,901,0,19,49
ACAT2,176,15,124,0,0,11
ASIC2,23,0,16,58,1,12
ASIC1,33,4,17,3,8,3
ACHE,17,9,58,323,386,910
ACLY,2567,216,1530,58,196,191
ACO1,667,99,482,4,64,31
ACR,4,11,6,1,0,3
ACR,4,11,6,1,0,3
ACO2,816,65,342,3,20,19
ACOX1,1563,144,879,9,58,45
ACP1,730,45,430,0,11,28
ACP2,823,67,445,0,20,44
ACP5,14,1,86,3,0,12
ACP3,151,17,108,3,0,4
ACRV1,0,0,0,0,0,2
ACTA1,1,0,2,21,2,4
ACTA2,1703,136,2035,21,26,193
ACTB,112374,10973,56872,333,2107,4969
ACTC1,4,0,0,0,5,4
ACTG1,26934,2599,13462,167,1329,2177
ACTG2,29,0,96,7,0,9
ACTN4,15403,919,6838,8,666,674
ACTN4,15403,919,6838,8,666,674
ACTL6A,634,17,367,0,23,35
ACTN1,3566,660,1979,43,278,378
